model,temperature,correct_count,incorrect_count,accuracy,f1_score,avg_chemical_similarity,avg_string_distance,incorrect_smiles_count
oa:gpt-4-1106-preview,0.0,3,97,0.03,0.058252427184466014,0.1580987115698279,7.41,7
oa:gpt-4-1106-preview,0.5,6,94,0.06,0.11320754716981131,0.16715994977584409,7.49,6
oa:gpt-4-1106-preview,1.0,1,99,0.01,0.019801980198019802,0.16717196674999282,6.67,4
oa:gpt-4-1106-preview,1.5,2,98,0.02,0.0392156862745098,0.0894461156894841,9.01,10
oa:gpt-3.5-turbo-0125,0.0,1,99,0.01,0.019801980198019802,0.06247277465094194,7.31,11
oa:gpt-3.5-turbo-0125,0.5,0,100,0.0,0.0,0.05311584046150891,6.94,11
oa:gpt-3.5-turbo-0125,1.0,1,99,0.01,0.019801980198019802,-0.07034141031961194,7.95,21
oa:gpt-3.5-turbo-0125,1.5,0,100,0.0,0.0,-0.19705859062782577,13.84,30
oa:gpt-4o-2024-08-06,0.0,5,95,0.05,0.09523809523809523,0.27477444132827644,5.49,1
oa:gpt-4o-2024-08-06,0.5,4,96,0.04,0.07692307692307693,0.22093025314339776,5.26,4
oa:gpt-4o-2024-08-06,1.0,5,95,0.05,0.09523809523809523,0.22255690037889908,5.58,4
oa:gpt-4o-2024-08-06,1.5,5,95,0.05,0.09523809523809523,0.12242544552335036,5.99,12
oa:gpt-4o-mini-2024-07-18,0.0,3,97,0.03,0.058252427184466014,0.09202461341886052,6.18,12
oa:gpt-4o-mini-2024-07-18,0.5,1,99,0.01,0.019801980198019802,0.05098573136557111,7.06,11
oa:gpt-4o-mini-2024-07-18,1.0,2,98,0.02,0.0392156862745098,0.0263038350423105,7.19,17
oa:gpt-4o-mini-2024-07-18,1.5,1,99,0.01,0.019801980198019802,-0.041815733534861226,6.78,21
